hts,desc
3827610000,"Mixtures containing 15 percent or more by mass of 1,1,1-trifluoroethane (HFC-143a)"
3827620000,"Mixtures containing 55 percent or more by mass of pentafluoroethane (HFC- 125) but not containing unsaturated fluorinated derivatives of acyclic hydrocarbons (HFOs), nesoi"
3827630000,"Mixtures containing 40 percent or more by mass of pentafluoroethane (HFC- 125), nesoi"
3827640000,"Mixtures containing 30 percent or more by mass of 1,1,1,2-tetrafluorine (HFC-134a) but not containing unsaturated fluorinated derivatives of acyclic hydrocarbons (HFOs), nesoi"
3827650000,"Mixtures containing 20 percent or more by mass of difluoromethane (HFC- 32) and 20 percent or more by mass of pentafluoroethane (HFC-125), nesoi"
39252000,"Doors, windows, and their frames and thresholds for doors, of plastics"
39269010,"Buckets and pails, of plastics, nesoi"
7323915020,"Bakeware (cookware not suitable for stovetop use) , of cast iron, not enameled"
7323915040,"Table, kitchen or other household articles nesoi, of cast iron not enameled, and parts thereof"
7323920020,"Bakeware (cookware not suitable for stovetop use) articles nesoi, of cast iron, enameled"
7323920040,"Table, kitchen or other household articles nesoi, of cast iron, enameled, and parts thereof"
84072100,Marine propulsion spark-ignition reciprocating or rotary internal-combustion piston engines for outboard motors
84082010,Compression-ignition internal-combustion piston engines to be installed in tractors suitable for agricultural use
84082090,"Compression-ignition internal-combustion piston engines used for propulsion of vehicles of chapter 87 of the HTSUS, nesoi 33"
84099150,"Parts nesoi, used solely or principally with spark-ignition internal- combustion piston engines for vehicles of headings 8701.2 and 8702–8704"
84099192,"Parts nesoi, used solely or principally with spark-ignition internal- combustion piston engines for marine propulsion"
84099199,"Parts nesoi, used solely or principally with spark-ignition internal- combustion piston engines of heading 8407, nesoi"
84099991,"Parts nesoi, used solely or principally with the engines of heading 8408, or for vehicles of headings 8701.2, 8702, 8703 or 8704"
84099992,"Parts nesoi, used solely or principally with compression-ignition internal- combustion piston engines for marine propulsion"
84099999,"Parts nesoi, used solely or principally with compression-ignition internal- combustion piston engines of headings 8407 or 8408, nesoi"
85015340,"AC motors, multi-phase, exceeding 75 kW but under 149.2 kW, for use in civil aircraft"
84241000,"Fire extinguishers, whether charged or not charged"
85030045,Stators and rotors for electric generators for use on aircraft
85030090,Parts suitable for use solely or principally with electric motors or generators for use on aircraft
8705900010,Mobile radiological units
8705900020,Mobile medical clinics
87100000,"Tanks and other armored fighting vehicles, motorized, whether or not fitted with weapons, and parts of such vehicles"
87113000,"Motorcycles (including mopeds) and cycles, fitted with reciprocating internal-combustion piston engine of a cylinder capacity exceeding 250 cc but not exceeding 500 cc"
87115000,"Motorcycles (including mopeds) and cycles, fitted with reciprocating internal-combustion piston engine of a cylinder capacity exceeding 800 cc"
87116000,"Motorcycles (including mopeds) and cycles, with electric motor for propulsion"
87141000,Parts and accessories for motorcycles (including mopeds)
94017100,"Seats nesoi, with metal frame (other than of heading 9402), upholstered"
94017900,"Seats nesoi, with metal frame (other than of heading 9402), not upholstered"
94031000,"Furniture (other than seats) of metal nesoi, of a kind used in offices"
94032000,"Furniture (other than seats) of metal nesoi, other than of a kind used in offices"
94039910,"Parts of furniture (other than seats), for furniture of a kind used for motor vehicles"
9403999010,"Parts for cribs, toddler beds, bassinets and cradles, nesoi"
9403999015,"Parts for play yards and other enclosures for children, nesoi"
9403999040,"Metal parts for steel racks of subheading 9403.20.00.82, nesoi"
9403999045,"Furniture parts of metal, nesoi"
9403999051,"Furniture parts of cotton, cut to shape, nesoi"
9403999061,"Furniture parts, nesoi"
94059920,"Parts of lamps, lighting fixtures, illuminated signs and the like, of brass 34"
94059940,"Parts of lamps, lighting fixtures, illuminated signs and the like, not of glass, plastics or brass"
95069100,"Articles and equipment for general physical exercise, gymnastics or athletics; parts and accessories thereof 35"
04029968,"Milk and cream (except condensed milk), concentrated in non-solid forms, sweetened, subject to general note 15 of the HTSUS"
04029970,"Milk and cream (except condensed milk), concentrated in non-solid forms, sweetened, subject to additional U.S. note 10 to chapter 4 of the HTSUS"
04029990,"Milk and cream (except condensed milk), concentrated in non-solid forms, sweetened, not described in general note 15 or additional U.S. note 10 to chapter 4 of the HTSUS"
2106909998,"Food preparations nesoi, not canned or frozen"
22030000,Beer made from malt
2710193050,Steam cylinder oils
29034310,"Fluoromethane (HFC-41), 1,2-difluoroethane (HFC-152) and 1,1- difluoroethane (HFC-152-a)"
29034510,"1,2,1,2-tetrafluoroethane (HFC-134a) and 1,1,2,2-tetrafluoroethane (HFC- 134)"
29034900,"Other saturated fluorinated derivatives of acyclic hydrocarbons, nesoi"
29035110,"2,3,3,3-tetrafluoropropene (HFO-1234yf), 1,3,3,3-tetrafluoropropene (HFO- 1234ze) and (z)-1,1,1,4,4,4-hexafluoro-2-butene (HFO-1336mzz)"
29035990,Other unsaturated fluorinated derivatives of acyclic hydrocarbons
3004909251,"Dermatological agents and local anesthetics put up in measured doses or in forms or packings for retail sale, nesoi"
32081000,Paints and varnishes (including enamels and lacquers) based on polyesters in a nonaqueous medium
32082000,Paints and varnishes (including enamels and lacquers) based on acrylic or vinyl polymers in a nonaqueous medium
32089000,"Paints and varnishes based on synthetic polymers or chemically modified natural polymers nesoi, in a nonaqueous medium"
32091000,Paints and varnishes (including enamels and lacquers) based on acrylic or vinyl polymers in an aqueous medium
32099000,"Paints and varnishes based on synthetic polymers or chemically modified natural polymers nesoi, in an aqueous medium"
32139000,"Artists’, students’ or signboard painters’ colors, in tablets, tubes, jars, bottles, pans or in similar packings, not in sets"
32141000,"Glaziers’ putty, grafting putty, resin cements, caulking compounds and other mastics; painters’ fillings"
33030010,"Floral or flower waters, not containing alcohol"
33030020,"Perfumes and toilet waters, other than floral or flower waters, not containing alcohol"
33030030,"Perfumes and toilet waters, containing alcohol"
33043000,Manicure or pedicure preparations
33049950,"Beauty or make-up preparations and preparations for the care of the skin, excluding medicaments but including sunscreen or sun tan preparations, nesoi 36"
33051000,Shampoos
33053000,Hair lacquers
33059000,"Preparations for use on the hair, nesoi"
33069000,"Preparations for oral or dental hygiene, including denture fixative pastes and powders, excluding dentifrices"
33071010,"Pre-shave, shaving or after-shave preparations, not containing alcohol"
33071020,"Pre-shave, shaving or after-shave preparations, containing alcohol"
33072000,Personal deodorants and antiperspirants
33074900,"Preparations for perfuming or deodorizing rooms, including odoriferous preparations used during religious rites, nesoi"
33079000,"Depilatories and other perfumery, cosmetic or toilet preparations. nesoi"
34013010,"Organic surface-active products for washing the skin, in liquid or cream, containing any aromatic or modified aromatic surface-active agent, put up for retail"
34013050,"Organic surface-active products and preparations for washing the skin, in liquid or cream form, put up for retail sale, nesoi"
34023190,"Linear alkylbenzene sulfonic acids and their salts, other than aromatic or modified aromatic"
34024990,"Other organic surface-active agents, other than aromatic or modified aromatic, other than anionic, cationic or non-ionic"
34025011,"Preparations of organic surface-active agents, put up for retail sale, containing any aromatic or modified aromatic surface-active agent"
34025051,"Preparations of organic surface-active agents, put up for retail sale, not containing any aromatic or modified aromatic surface-active agent"
34029010,Synthetic detergents put up for retail sale
34029030,"Surface-active, washing, and cleaning preparations containing any aromatic or modified aromatic surface-active agent, put up for retail sale"
34029050,"Surface-active, washing, and cleaning preparations nesoi, put up for retail sale"
34031910,Lubricating preparations containing 50 percent but less than 70 percent by weight of petroleum oils or of oils obtained from bituminous minerals
34031950,Lubricating preparations containing less than 50 percent by weight of petroleum oils or of oils from bituminous minerals
34039900,"Lubricating preparations (including lubricant-based preparations), nesoi"
34051000,"Polishes, creams and similar preparations for footwear or leather"
34052000,"Polishes, creams and similar preparations for the maintenance of wooden furniture, floors or other woodwork"
34054000,Scouring pastes and powders and other scouring preparations
34059000,"Polishes, creams and similar preparations for glass or metal"
35061050,"Products suitable for use as glues or adhesives, nesoi, not exceeding a net weight of 1 kg, put up for retail sale"
35069110,"Adhesive preparations based on rubber or plastics (including artificial resins), optically clear, for flat panel and touchscreen displays"
35069150,Other adhesive preparations based on rubber or plastics (including artificial resins) 37
35069900,"Prepared glues and other prepared adhesives, excluding adhesives based on rubber or plastics, nesoi"
3701300000,"Other photographic plates and film, with any side exceeding 255 mm in the flat"
38085910,Pesticides containing any aromatic or modified aromatic specified in note 1 to chapter 38 of the HTSUS
38085940,Disinfectants specified in note 1 to chapter 38 of the HTSUS
38086110,"Pesticides containing any aromatic or modified aromatic, in packings of a net weight content not exceeding 300 g, specified in note 2 to chapter 38 of the HTSUS"
38086150,"Pesticides, nesoi, in packings of a net weight content not exceeding 300 g, specified in note 2 to chapter 38 of the HTSUS"
38086210,"Pesticides containing any aromatic or modified aromatic, in packings of a net weight content exceeding 300 g but not exceeding 7.5 kg, specified in note 2 to chapter 38 of the HTSUS"
38086250,"Pesticides, nesoi, in packings of a net weight content exceeding 300 g but not exceeding 7.5 kg, specified in note 2 to chapter 38 of the HTSUS"
38086910,"Pesticides containing any aromatic or modified aromatic, in packings of a net weight content exceeding 7.5kg, specified in note 2 to chapter 38 of the HTSUS"
38086950,"Pesticides, nesoi, in packings of a net weight content exceeding 7.5kg, specified in note 2 to chapter 38 of the HTSUS"
38089115,"Mixtures of n-[[(chlorophenyl)amino]carbonyl]-2,6-difluorobenzamide and inert substances"
38089125,"Insecticides containing any aromatic or modified aromatic insecticide, nesoi"
38089130,"Insecticides, nesoi, containing an inorganic substance, put up for retail sale"
38089150,"Insecticides, nesoi, for retail sale or as preparations or articles"
38089410,"Disinfectants, containing any aromatic or modified aromatic disinfectant"
38089450,"Disinfectants not subject to subheading note 1 of chapter 38 of the HTSUS, nesoi"
38099100,"Finishing agents, dye carriers and like products, nesoi, used in the textile or like industries"
38101000,"Pickling preparations for metal surfaces; soldering, brazing or welding powders and pastes consisting of metal and other materials"
38111900,Antiknock preparations based on other than lead compounds
38112100,Additives for lubricating oils containing petroleum oils or oils obtained from bituminous minerals
38140010,"Organic composite solvents and thinners containing 5 to 25 percent, by weight of one or more aromatic substances"
38140020,Organic composite solvents and thinners containing more than 25 percent by weight of one or more aromatic substances
38140050,"Organic composite solvents and thinners, nesoi; prepared paint or varnish removers, nesoi"
38200000,Antifreezing preparations and prepared de-icing fluids 38
3824999397,"Chemical products and preparations and residual products of the chemical or allied industries, nesoi"
6603908100,"Parts, trimmings and accessories of headings 6601 or 6602, nesoi"
8473302000,"Parts and accessories of printed circuit assemblies of the machines of heading 8471, including face plates and lock latches, not incorporating a cathode ray tube"
8473305100,"Parts and accessories of the machines of heading 8471, nesoi"
8486900000,"Machines used for the manufacture of boules or wafers, semiconductors, electronic integrated circuits or flat panel displays; parts and accessories"
8517790000,"Parts of telephone sets or other apparatus for the transmission or reception of voice, images or other data"
8529909760,"Radio remote-control apparatus parts, nesoi"
8541900000,"Diode, transistor and similar semiconductor device parts"
8807300060,"Other parts of airplanes or helicopters for use in military aircraft (excluding propellers, rotors, undercarriages, and parts thereof)"
9031909195,"Parts and accessories for measuring or checking instruments, appliances and machines in chapter 90 of the HTSUS, nesoi"
94017900,"Seats nesoi, with metal frame (other than of heading 9402), not upholstered"
9401999081,"Seat parts, nesoi"
94031000,"Furniture (other than seats) of metal nesoi, of a kind used in offices"
94032000,"Furniture (other than seats) of metal nesoi, other than of a kind used in offices"
9403991040,Parts of furniture of a kind used for motor vehicles of metal
9403999010,"Parts for cribs, toddler beds, bassinets and cradles, nesoi"
9403999015,"Parts for play yards and other enclosures for children, nesoi"
9403999020,"Welded wire rack decking, whether or not galvanized, plated or coated"
9403999040,"Metal parts for steel racks of subheading 9403.20.00.82, nesoi"
9403999045,"Furniture parts of metal, nesoi"
9405994020,"Lampposts and bases of lampposts, of aluminum"
9506114080,"Snow skis, nesoi"
9506514000,"Lawn-tennis rackets, not strung"
9506516000,Parts and accessories for lawn-tennis rackets
9506594040,Badminton rackets and racket frames
9506702090,"Roller skates, nesoi, and parts and accessories"
9506910010,Exercise cycles
9506910020,Exercise rowing machines
9506910030,"Gymnasium, or other exercise articles and equipment, parts and accessories thereof, nesoi"
9506990510,Bow and bow parts
9506990520,Arrows and arrow parts
9506990530,"Archery articles and equipment, and parts and accessories thereof, nesoi"
9506991500,"Baseball articles and equipment, except balls, and parts and accessories thereof 39"
9506992000,"Football, soccer and polo articles and equipment, except balls, and parts and accessories thereof"
9506992580,"Ice-hockey and field-hockey articles and equipment, except balls, skates and ice-hockey sticks, including parts and accessories, nesoi"
9506992800,Lacrosse sticks
9506995500,"Swimming pools and wading pools, and parts and accessories thereof"
9506996080,"Articles and equipment for gymnastics, athletics, other sports or outdoor games, nesoi"
9507302000,Fishing reels valued not over $2.70 each
9507304000,Fishing reels valued over $2.70 each but not over $8.45 each
9507306000,Fishing reels valued over $8.45 each
9507308000,Fishing reels parts and accessories
9507906000,"Fishing landing nets, butterfly nets and similar nets"
9603908050,"Brooms, brushes, squeegees, etc., nesoi 40"
